"Reserve","Date","SiteID","TransectID","PlotID","Lat","Long","Orthometric Height","Species","Cover"
"GND",2018-07-26,"spal",1,1,30.3624762992,-88.4138660513,0.22874,"Juncus roemerianus",20
"GND",2018-07-26,"spal",1,1,30.3624762992,-88.4138660513,0.22874,"Spartina alterniflora",10
"GND",2018-07-26,"spal",1,2,30.3623571954,-88.4137864287,0.18774,"Juncus roemerianus",20
"GND",2018-07-26,"spal",1,2,30.3623571954,-88.4137864287,0.18774,"Spartina alterniflora",5
"GND",2018-07-26,"spal",1,3,30.3622406168999,-88.4137023287999,0.18604,"Juncus roemerianus",0
"GND",2018-07-26,"spal",1,3,30.3622406168999,-88.4137023287999,0.18604,"Spartina alterniflora",50
"GND",2018-07-26,"spal",1,4,30.3621226861,-88.4136200389,0.20855,"Juncus roemerianus",55
"GND",2018-07-26,"spal",1,4,30.3621226861,-88.4136200389,0.20855,"Spartina alterniflora",2.5
"GND",2018-07-26,"spal",1,5,30.3619936212,-88.4135277615999,0.21419,"Juncus roemerianus",30
"GND",2018-07-26,"spal",1,5,30.3619936212,-88.4135277615999,0.21419,"Spartina alterniflora",0
"GND",2018-07-26,"spal",1,6,30.3618581327999,-88.4134301114,0.24428,"Juncus roemerianus",40
"GND",2018-07-26,"spal",1,6,30.3618581327999,-88.4134301114,0.24428,"Spartina alterniflora",0
"GND",2018-07-26,"spal",1,7,30.3617296289999,-88.4133321734999,0.21105,"Juncus roemerianus",25
"GND",2018-07-26,"spal",1,7,30.3617296289999,-88.4133321734999,0.21105,"Spartina alterniflora",0
"GND",2018-07-26,"spal",1,8,30.3616184887,-88.4132553781,0.19436,"Juncus roemerianus",30
"GND",2018-07-26,"spal",1,8,30.3616184887,-88.4132553781,0.19436,"Spartina alterniflora",2.5
"GND",2018-07-26,"spal",1,9,30.3614804435,-88.4131917216,0.15112,"Juncus roemerianus",0
"GND",2018-07-26,"spal",1,9,30.3614804435,-88.4131917216,0.15112,"Spartina alterniflora",30
"GND",2018-07-26,"spal",2,1,30.3623685292999,-88.414161573,0.23818,"Juncus roemerianus",15
"GND",2018-07-26,"spal",2,1,30.3623685292999,-88.414161573,0.23818,"Spartina alterniflora",20
"GND",2018-07-26,"spal",2,2,30.362243237,-88.4140667303999,0.20275,"Juncus roemerianus",15
"GND",2018-07-26,"spal",2,2,30.362243237,-88.4140667303999,0.20275,"Spartina alterniflora",10
"GND",2018-07-26,"spal",2,3,30.3621286656999,-88.4139904250999,0.16117,"Juncus roemerianus",20
"GND",2018-07-26,"spal",2,3,30.3621286656999,-88.4139904250999,0.16117,"Spartina alterniflora",10
"GND",2018-07-26,"spal",2,4,30.3620138445,-88.4138987604,0.17738,"Juncus roemerianus",0
"GND",2018-07-26,"spal",2,4,30.3620138445,-88.4138987604,0.17738,"Spartina alterniflora",20
"GND",2018-07-26,"spal",2,5,30.3618998588999,-88.4138175012,0.20753,"Juncus roemerianus",20
"GND",2018-07-26,"spal",2,5,30.3618998588999,-88.4138175012,0.20753,"Spartina alterniflora",2.5
"GND",2018-07-26,"spal",2,6,30.3617645966999,-88.4137327961999,0.20607,"Juncus roemerianus",0
"GND",2018-07-26,"spal",2,6,30.3617645966999,-88.4137327961999,0.20607,"Spartina alterniflora",40
"GND",2018-07-26,"spal",2,7,30.3616323852,-88.4136280823999,0.20172,"Juncus roemerianus",30
"GND",2018-07-26,"spal",2,7,30.3616323852,-88.4136280823999,0.20172,"Spartina alterniflora",5
"GND",2018-07-26,"spal",2,8,30.3615212417999,-88.4135506613999,0.22073,"Juncus roemerianus",0
"GND",2018-07-26,"spal",2,8,30.3615212417999,-88.4135506613999,0.22073,"Spartina alterniflora",35
"GND",2018-07-26,"spal",2,9,30.3613804,-88.4134553,0.17454,"Juncus roemerianus",35
"GND",2018-07-26,"spal",2,9,30.3613804,-88.4134553,0.17454,"Spartina alterniflora",5
"GND",2018-07-26,"spal",3,1,30.3623334165999,-88.4143765717,0.23045,"Juncus roemerianus",20
"GND",2018-07-26,"spal",3,1,30.3623334165999,-88.4143765717,0.23045,"Spartina alterniflora",20
"GND",2018-07-26,"spal",3,2,30.3621909445999,-88.4142703302999,0.23389,"Juncus roemerianus",0
"GND",2018-07-26,"spal",3,2,30.3621909445999,-88.4142703302999,0.23389,"Spartina alterniflora",35
"GND",2018-07-26,"spal",3,3,30.3620663973,-88.4141869322999,0.18696,"Juncus roemerianus",0
"GND",2018-07-26,"spal",3,3,30.3620663973,-88.4141869322999,0.18696,"Spartina alterniflora",35
"GND",2018-07-26,"spal",3,4,30.361943852,-88.4140991396999,0.17609,"Juncus roemerianus",0
"GND",2018-07-26,"spal",3,4,30.361943852,-88.4140991396999,0.17609,"Spartina alterniflora",20
